,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
3157,Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Full,2021,4.6,10000,290000
3158,Accord,Al-Ahsa,Honda,Automatic,Saudi,Full,2016,3.5,183000,67000
3159,CS75,Riyadh,Changan,Automatic,Saudi,Full,2019,1.8,83425,51500
3160,Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2020,2.5,4443,84500
3162,Senta fe,Aseer,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,255000,51000
3163,3,Dammam,Mazda,Automatic,Gulf Arabic,Standard,2016,1.6,165000,45000
3164,G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,127000,93000
3165,Innova,Riyadh,Toyota,Automatic,Saudi,Full,2015,2.7,195000,52000
3166,G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2016,3.8,165061,85500
3167,Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,103000,31000
3169,Explorer,Al-Medina,Ford,Automatic,Saudi,Standard,2010,6.0,244,17500
3172,Mohave,Al-Ahsa,Kia,Automatic,Saudi,Full,2014,3.8,200350,40000
3174,Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2019,2.5,124004,65000
3176,Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2018,5.7,126000,260000
3178,ES,Yanbu,Lexus,Automatic,Saudi,Full,2019,2.5,62000,195000
3179,Azera,Dammam,Hyundai,Automatic,Saudi,Full,2015,3.0,272783,36000
3180,X,Riyadh,BMW,Automatic,Saudi,Full,2015,3.0,98000,150000
3181,Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2016,5.4,109000,72000
3186,Elantra,Riyadh,Hyundai,Manual,Other,Semi Full,2011,2.0,290,12000
3187,Avalon,Khobar,Toyota,Automatic,Saudi,Standard,2019,3.5,47000,116000
3189,Taurus,Dammam,Ford,Automatic,Other,Full,2015,3.5,112000,81000
3190,Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,173000
3191,The 7,Abha,BMW,Automatic,Saudi,Full,2003,2.0,106000,34000
3192,Passat,Jeddah,Volkswagen,Automatic,Saudi,Semi Full,2012,2.5,216000,22000
3194,Camaro,Dammam,Chevrolet,Automatic,Other,Full,2018,3.6,118000,119000
3195,Rav4,Dammam,Toyota,Automatic,Saudi,Standard,2012,2.5,234000,30000
3196,E,Makkah,Mercedes,Automatic,Saudi,Full,2020,2.0,10000,285000
3197,Cerato,Jazan,Kia,Automatic,Saudi,Semi Full,2015,1.6,190000,33000
3198,KICKS,Riyadh,Nissan,Automatic,Saudi,Semi Full,2020,1.6,200,66000
3199,S,Dammam,Mercedes,Automatic,Other,Semi Full,2007,3.0,200000,75000
3200,Cayenne,Riyadh,Porsche,Automatic,Saudi,Full,2019,3.6,36000,360000
3204,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,200000,55000
3206,Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2021,2.4,4000,158500
3208,Expedition,Al-Medina,Ford,Automatic,Other,Full,2007,3.0,423000,29000
3209,Furniture,Al-Ahsa,Toyota,Automatic,Other,Semi Full,2017,2.7,70000,75000
3210,Marquis,Taef,Ford,Automatic,Saudi,Semi Full,2008,4.6,380000,15000
3211,Sonata,Aseer,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,72000,65000
3213,Range Rover,Al-Medina,Land Rover,Automatic,Saudi,Full,2010,5.0,188000,62000
3214,Impala,Riyadh,Chevrolet,Automatic,Gulf Arabic,Standard,2016,3.5,114000,65000
3215,Cruze,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2014,1.8,135020,24000
3216,Corolla,Tabouk,Toyota,Automatic,Saudi,Full,2015,1.6,90000,45000
3217,Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2019,2.4,5400,78000
3218,Avalon,Jeddah,Toyota,Automatic,Saudi,Full,2020,3.5,33000,164000
3219,Malibu,Qassim,Chevrolet,Automatic,Saudi,Standard,2018,2.0,135000,46500
3221,Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2018,1.5,99000,26000
3222,ES,Riyadh,Lexus,Automatic,Saudi,Full,2020,3.5,33000,210000
3223,C,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2016,2.0,129000,134000
3224,Sportage,Riyadh,Kia,Automatic,Saudi,Standard,2019,1.6,69358,60500
3225,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.6,120000,30000
3226,Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2020,5.7,99000,145000
3227,S,Riyadh,Mercedes,Automatic,Saudi,Full,2014,3.0,90000,220000
3228,Yukon,Dammam,GMC,Automatic,Saudi,Full,2014,5.3,327000,77000
3230,Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2016,1.6,55000,48000
3232,Mini Van,Riyadh,Foton,Manual,Gulf Arabic,Standard,2017,2.7,145000,39500
3233,Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,5.4,150000,52000
3234,Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,120000,62000
